2025-09-25 01:39:56 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-25 01:39:56 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-25 01:39:56 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250925_013956.log
2025-09-25 01:39:56 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250925_013956.log
2025-09-25 01:39:56 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250925_013956.log
2025-09-25 01:39:56 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-25 01:39:56 | whisper_model_manager | INFO     | __init__       :367  | WhisperModelManager initialized with models dir: G:\Projects\Amanuensis\whisper_models
2025-09-25 01:39:56 | transcription_config | INFO     | get_device_config:99   | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 01:39:56 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'medium' is installed (using cpu)
2025-09-25 01:39:59 | whisper_model_manager | DEBUG    | is_model_installed:396  | Model medium is installed and ready for use on cuda
2025-09-25 01:40:01 | health_monitor       | INFO     | __init__       :92   | Transcription Health Monitor initialized
2025-09-25 01:40:01 | health_monitor       | INFO     | start_monitoring:120  | Health monitoring started
2025-09-25 01:40:01 | audio_manager        | INFO     | __init__       :14   | Initializing AudioManager
2025-09-25 01:40:01 | audio_manager        | INFO     | __init__       :48   | AudioManager initialized - Buffer: 180s, Sample Rate: 44100, Chunk Size: 1024
2025-09-25 01:40:01 | transcription_config | INFO     | get_device_config:99   | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 01:40:01 | enhanced_whisper     | INFO     | __init__       :121  | Enhanced Whisper Manager initialized: model=medium, device=cuda
2025-09-25 01:40:01 | session_recorder     | INFO     | __init__       :21   | Initializing Session Recorder Window
2025-09-25 01:40:01 | audio_transcription_bridge | INFO     | __init__       :54   | AudioTranscriptionBridge initialized. Whisper chunk size: 5s
2025-09-25 01:40:01 | audio_transcription_bridge | WARNING  | __init__       :60   | AudioManager doesn't support audio data callbacks
2025-09-25 01:40:01 | enhanced_whisper     | DEBUG    | add_result_callback:227  | Added result callback, total: 1
2025-09-25 01:40:01 | session_recorder     | INFO     | __init__       :41   | Audio transcription bridge initialized
2025-09-25 01:40:01 | session_storage      | INFO     | __init__       :86   | SessionStorageManager initialized
2025-09-25 01:40:01 | session_storage      | INFO     | __init__       :87   |   Recordings: data\recordings
2025-09-25 01:40:01 | session_storage      | INFO     | __init__       :88   |   Transcripts: data\transcripts
