2025-09-25 00:03:30 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-25 00:03:30 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-25 00:03:30 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250925_000330.log
2025-09-25 00:03:30 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250925_000330.log
2025-09-25 00:03:30 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250925_000330.log
2025-09-25 00:03:30 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-25 00:03:30 | audio_manager        | INFO     | __init__       :13   | Initializing AudioManager
2025-09-25 00:03:30 | audio_manager        | INFO     | __init__       :39   | AudioManager initialized - Buffer: 180s, Sample Rate: 44100, Chunk Size: 1024
2025-09-25 00:03:30 | audio_manager        | DEBUG    | wrapper        :205  | CALL: get_audio_devices(1 args, 0 kwargs)
2025-09-25 00:03:30 | audio_manager        | DEBUG    | get_audio_devices:48   | Scanning for audio devices...
2025-09-25 00:03:30 | audio_manager        | INFO     | get_audio_devices:56   | Found 37 audio devices
2025-09-25 00:03:30 | audio_manager        | DEBUG    | get_audio_devices:66   | Device 0: 'Input' (raw: 'Microsoft Sound Mapper - Input') - In:2 Out:0
2025-09-25 00:03:30 | audio_manager        | DEBUG    | get_audio_devices:90   |   -> Added as INPUT device
2025-09-25 00:03:30 | audio_manager        | DEBUG    | get_audio_devices:66   | Device 1: 'Microphone (TONOR TC30 Audio De' (raw: 'Microphone (TONOR TC30 Audio De') - In:1 Out:0
2025-09-25 00:03:30 | audio_manager        | DEBUG    | get_audio_devices:90   |   -> Added as INPUT device
2025-09-25 00:03:30 | audio_manager        | DEBUG    | get_audio_devices:66   | Device 2: 'Microphone (Logi C615 HD WebCam' (raw: 'Microphone (Logi C615 HD WebCam') - In:1 Out:0
2025-09-25 00:03:30 | audio_manager        | DEBUG    | get_audio_devices:90   |   -> Added as INPUT device
