2025-09-25 02:32:25 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-25 02:32:25 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-25 02:32:25 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250925_023225.log
2025-09-25 02:32:25 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250925_023225.log
2025-09-25 02:32:25 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250925_023225.log
2025-09-25 02:32:25 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-25 02:32:25 | whisper_model_manager | INFO     | __init__       :367  | WhisperModelManager initialized with models dir: G:\Projects\Amanuensis\whisper_models
2025-09-25 02:32:25 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:25 | whisper_model_manager | DEBUG    | is_model_installed:383  | Checking if model 'medium' is installed (using cpu)
2025-09-25 02:32:28 | whisper_model_manager | DEBUG    | is_model_installed:396  | Model medium is installed and ready for use on cuda
2025-09-25 02:32:30 | health_monitor       | INFO     | __init__       :92   | Transcription Health Monitor initialized
2025-09-25 02:32:30 | health_monitor       | INFO     | start_monitoring:120  | Health monitoring started
2025-09-25 02:32:30 | audio_manager        | INFO     | __init__       :22   | Initializing AudioManager
2025-09-25 02:32:31 | audio_manager        | INFO     | __init__       :56   | AudioManager initialized - Buffer: 180s, Sample Rate: 44100, Chunk Size: 1024
2025-09-25 02:32:31 | transcription_config | INFO     | get_device_config:103  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 02:32:31 | enhanced_whisper     | INFO     | __init__       :122  | Enhanced Whisper Manager initialized: model=medium, device=cuda
2025-09-25 02:32:31 | session_recorder     | INFO     | __init__       :21   | Initializing Session Recorder Window
2025-09-25 02:32:31 | audio_transcription_bridge | INFO     | __init__       :186  | AudioTranscriptionBridge initialized. Whisper chunk size: 5s
2025-09-25 02:32:31 | audio_transcription_bridge | WARNING  | __init__       :192  | AudioManager doesn't support audio data callbacks
2025-09-25 02:32:31 | enhanced_whisper     | DEBUG    | add_result_callback:401  | Added result callback, total: 1
2025-09-25 02:32:31 | session_recorder     | INFO     | __init__       :41   | Audio transcription bridge initialized
2025-09-25 02:32:31 | session_storage      | INFO     | __init__       :86   | SessionStorageManager initialized
2025-09-25 02:32:31 | session_storage      | INFO     | __init__       :87   |   Recordings: data\recordings
2025-09-25 02:32:31 | session_storage      | INFO     | __init__       :88   |   Transcripts: data\transcripts
2025-09-25 02:32:31 | session_recorder     | INFO     | __init__       :57   | Session storage manager initialized
2025-09-25 02:32:31 | session_recorder     | DEBUG    | __init__       :65   | Setting up UI components...
2025-09-25 02:32:31 | session_recorder     | DEBUG    | create_menu_bar:438  | Menu bar created successfully
2025-09-25 02:32:31 | audio_manager        | DEBUG    | wrapper        :205  | CALL: get_audio_devices(1 args, 0 kwargs)
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:65   | Scanning for audio devices...
2025-09-25 02:32:31 | audio_manager        | INFO     | get_audio_devices:73   | Found 37 audio devices
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 0: 'Input' (raw: 'Microsoft Sound Mapper - Input') - In:2 Out:0
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:107  |   -> Added as INPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 1: 'Microphone (TONOR TC30 Audio De' (raw: 'Microphone (TONOR TC30 Audio De') - In:1 Out:0
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:107  |   -> Added as INPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 2: 'Microphone (Logi C615 HD WebCam' (raw: 'Microphone (Logi C615 HD WebCam') - In:1 Out:0
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:107  |   -> Added as INPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 3: 'Output' (raw: 'Microsoft Sound Mapper - Output') - In:0 Out:2
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:119  |   -> Added as OUTPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 4: 'Speakers (Logi Z407)' (raw: 'Speakers (Logi Z407)') - In:0 Out:2
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:119  |   -> Added as OUTPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 5: 'Realtek Digital Output (Realtek' (raw: 'Realtek Digital Output (Realtek') - In:0 Out:2
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:119  |   -> Added as OUTPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 6: 'Q27G4N (NVIDIA High Definition ' (raw: 'Q27G4N (NVIDIA High Definition ') - In:0 Out:2
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:119  |   -> Added as OUTPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 7: 'CR340HD (NVIDIA High Definition' (raw: 'CR340HD (NVIDIA High Definition') - In:0 Out:2
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:119  |   -> Added as OUTPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 8: 'LG ULTRAGEAR (NVIDIA High Defin' (raw: 'LG ULTRAGEAR (NVIDIA High Defin') - In:0 Out:2
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:119  |   -> Added as OUTPUT device
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:83   | Device 9: 'Primary Sound Capture Driver' (raw: 'Primary Sound Capture Driver') - In:2 Out:0
2025-09-25 02:32:31 | audio_manager        | DEBUG    | get_audio_devices:107  |   -> Added as INPUT device
