2025-09-25 03:12:14 | logger_config        | INFO     | _setup_logging :100  | ================================================================================
2025-09-25 03:12:14 | logger_config        | INFO     | _setup_logging :101  | AMANUENSIS LOGGING SYSTEM INITIALIZED
2025-09-25 03:12:14 | logger_config        | INFO     | _setup_logging :102  | Main log file: logs\amanuensis_20250925_031214.log
2025-09-25 03:12:14 | logger_config        | INFO     | _setup_logging :103  | Error log file: logs\amanuensis_errors_20250925_031214.log
2025-09-25 03:12:14 | logger_config        | INFO     | _setup_logging :104  | Audio log file: logs\amanuensis_audio_20250925_031214.log
2025-09-25 03:12:14 | logger_config        | INFO     | _setup_logging :105  | ================================================================================
2025-09-25 03:12:16 | audio_manager        | INFO     | __init__       :22   | Initializing AudioManager
2025-09-25 03:12:16 | audio_manager        | INFO     | __init__       :60   | AudioManager initialized - Buffer: 180s, Sample Rate: 44100, Chunk Size: 1024
2025-09-25 03:12:16 | transcription_config | INFO     | get_device_config:118  | CUDA detected: NVIDIA GeForce RTX 5060 Ti (15.9GB VRAM) - Using GPU acceleration
2025-09-25 03:12:16 | health_monitor       | INFO     | __init__       :92   | Transcription Health Monitor initialized
2025-09-25 03:12:16 | health_monitor       | INFO     | start_monitoring:120  | Health monitoring started
2025-09-25 03:12:16 | enhanced_whisper     | INFO     | __init__       :217  | Enhanced Whisper Manager initialized: model=small, device=cuda
2025-09-25 03:12:16 | audio_transcription_bridge | INFO     | __init__       :204  | AudioTranscriptionBridge initialized. Whisper chunk size: 5s
2025-09-25 03:12:16 | audio_manager        | DEBUG    | add_audio_data_callback:70   | Added audio data callback, total callbacks: 1
2025-09-25 03:12:16 | audio_transcription_bridge | INFO     | __init__       :209  | Audio callback registered successfully with AudioManager
2025-09-25 03:12:16 | enhanced_whisper     | DEBUG    | add_result_callback:549  | Added result callback, total: 1
2025-09-25 03:12:16 | model_loader         | INFO     | load_whisper_model:76   | Loading model: small • cuda • float16
2025-09-25 03:12:16 | urllib3.connectionpool | DEBUG    | _new_conn      :1049 | Starting new HTTPS connection (1): huggingface.co:443
2025-09-25 03:12:16 | urllib3.connectionpool | DEBUG    | _make_request  :544  | https://huggingface.co:443 "GET /api/models/Systran/faster-whisper-small/revision/main HTTP/1.1" 200 2013
2025-09-25 03:12:17 | model_loader         | INFO     | load_whisper_model:85   | Model ready: small • cuda • float16
2025-09-25 03:12:17 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.000
2025-09-25 03:12:17 | faster_whisper       | DEBUG    | generate_segments:1157 | Processing segment at 00:00.000
2025-09-25 03:12:17 | faster_whisper       | DEBUG    | generate_with_fallback:1474 | Log probability threshold is not met with temperature 0.0 (-1.147425 < -1.000000)
2025-09-25 03:12:17 | faster_whisper       | DEBUG    | generate_segments:1201 | No speech threshold is met (0.875000 > 0.600000)
2025-09-25 03:12:17 | enhanced_whisper     | DEBUG    | _safe_cleanup_temp_file:530  | Successfully cleaned up temp file: C:\Users\nicol\AppData\Local\Temp\tmp4cucmfk_.wav
2025-09-25 03:12:17 | enhanced_whisper     | INFO     | load_model     :461  | Model small loaded successfully on cuda
2025-09-25 03:12:17 | audio_transcription_bridge | DEBUG    | add_transcription_callback:222  | Added transcription callback. Total callbacks: 1
2025-09-25 03:12:17 | enhanced_whisper     | DEBUG    | _process_queue :617  | Started processing queue worker
2025-09-25 03:12:17 | enhanced_whisper     | INFO     | transcriber_worker:252  | Transcriber worker started
2025-09-25 03:12:17 | enhanced_whisper     | INFO     | start_transcriber_worker:409  | Transcriber worker started
2025-09-25 03:12:17 | enhanced_whisper     | INFO     | start_processing:568  | Started background transcription processing
2025-09-25 03:12:17 | audio_transcription_bridge | DEBUG    | _stream_loop   :366  | Transcription stream loop started.
2025-09-25 03:12:17 | audio_transcription_bridge | INFO     | start_streaming:276  | Audio transcription streaming started.
2025-09-25 03:12:17 | enhanced_whisper     | DEBUG    | start_processing:558  | Processing already running
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.022
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.022 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.068
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.068 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.114
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.114 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.161
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.161 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.207
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.207 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.254
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.254 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.300
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.300 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.347
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.347 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.393
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.393 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.440
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.440 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :855  | Processing audio with duration 00:01.486
2025-09-25 03:12:18 | faster_whisper       | INFO     | transcribe     :869  | VAD filter removed 00:01.486 of audio
2025-09-25 03:12:18 | faster_whisper       | DEBUG    | transcribe     :875  | VAD filter kept the following audio segments: 
